platform,timestamp,author,author_toxicity,toxicity,knowledge,platform_model name,platform_network name,platform_interval time duration,platform_maximum post inactivity,platform_toxicity threshold,platform_full ban,platform_partial ban,platform_warning,platform_remove content,platform_network ban threshold,platform_network warning threshold,platform_moderation miss probability
1,1,agent_1,0.672653,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,1,agent_1,0.672653,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,1,agent_8,0.632556,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,3,agent_4,0.593045,0.049896519631147385,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,3,agent_6,0.270481,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,3,agent_6,0.270481,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,3,agent_0,0.870639,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,4,agent_1,0.672653,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,4,agent_2,0.587706,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,4,agent_8,0.632556,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,4,agent_6,0.270481,0.02875366248190403,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,5,agent_6,0.270481,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,5,agent_9,0.1,0.09112955629825592,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,6,agent_1,0.672653,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,6,agent_4,0.593045,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,6,agent_9,0.1,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,7,agent_1,0.672653,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,9,agent_7,0.0959302,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,9,agent_1,0.672653,0.6325848698616028,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,10,agent_2,0.587706,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,10,agent_4,0.593045,0.5451070070266724,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,11,agent_7,0.0959302,0.030102143064141273,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,11,agent_9,0.1,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,11,agent_2,0.587706,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,12,agent_2,0.587706,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,12,agent_4,0.593045,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,14,agent_9,0.1,0.013410179875791073,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,16,agent_7,0.0959302,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,17,agent_7,0.0959302,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,19,agent_9,0.1,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,21,agent_9,0.1,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,22,agent_9,0.1,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,25,agent_9,0.1,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,28,agent_9,0.1,0.043357547372579575,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,29,agent_9,0.1,0.08804894238710403,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,30,agent_9,0.1,0.00714872544631362,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,31,agent_9,0.1,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
1,32,agent_9,0.1,0.029643544927239418,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2
