platform,timestamp,author,author_toxicity,toxicity,knowledge,platform_model name,platform_network name,platform_interval time duration,platform_maximum post inactivity,platform_toxicity threshold,platform_full ban,platform_partial ban,platform_warning,platform_remove content,platform_network ban threshold,platform_network warning threshold,platform_moderation miss probability,platform_partial ban length
3,12,agent_75,0.880767,0.053976211696863174,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,292,agent_75,0.880767,0.08699377626180649,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,470,agent_10,0.628033,0.5931777954101562,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,628,agent_29,0.337464,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,642,agent_88,0.591003,0.27847540378570557,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,806,agent_29,0.337464,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,922,agent_29,0.337464,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,984,agent_5,0.212172,0.13702471554279327,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,987,agent_75,0.880767,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,1380,agent_75,0.880767,0.5647119283676147,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,1627,agent_10,0.628033,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,1710,agent_88,0.591003,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,1848,agent_1,0.352114,0.029946379363536835,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2008,agent_20,0.632745,0.613321840763092,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2016,agent_46,0.416256,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2045,agent_66,0.798684,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2108,agent_66,0.798684,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2124,agent_0,0.345154,0.31348633766174316,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2128,agent_10,0.628033,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2416,agent_66,0.798684,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2417,agent_8,0.821175,0.04462088644504547,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2489,agent_10,0.628033,0.5335806608200073,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2507,agent_66,0.798684,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2564,agent_10,0.628033,0.19725438952445984,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2712,agent_5,0.212172,0.10495608299970627,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2780,agent_29,0.337464,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2803,agent_75,0.880767,0.21625152230262756,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2853,agent_1,0.352114,0.006214462220668793,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,2979,agent_88,0.591003,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,3101,agent_75,0.880767,0.6738191246986389,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,3110,agent_5,0.212172,0.17183317244052887,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,3150,agent_29,0.337464,0.06709493696689606,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,3253,agent_5,0.212172,0.15780653059482574,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,3369,agent_75,0.880767,0.13862650096416473,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,3504,agent_10,0.628033,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,3630,agent_1,0.352114,0.3422165811061859,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,3692,agent_29,0.337464,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,3712,agent_1,0.352114,0.05572346970438957,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,3722,agent_88,0.591003,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
3,3726,agent_69,0.241819,,0,Toxic Model 3,Network3,0.1,24.0,0.4,false,true,true,false,2,1,0.6,6
