platform,timestamp,author,author_toxicity,toxicity,knowledge,platform_model name,platform_network name,platform_interval time duration,platform_maximum post inactivity,platform_toxicity threshold,platform_full ban,platform_partial ban,platform_warning,platform_remove content,platform_network ban threshold,platform_network warning threshold,platform_moderation miss probability,platform_partial ban length
1,0,agent_0,0.345154,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,2,agent_2,0.00567196,0.002600905019789934,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,2,agent_1,0.352114,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,2,agent_1,0.352114,0.1817358136177063,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,3,agent_1,0.352114,0.2488744705915451,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,4,agent_1,0.352114,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,6,agent_2,0.00567196,0.005062424577772617,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,7,agent_2,0.00567196,0.005578019190579653,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,7,agent_47,0.0899155,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,9,agent_0,0.345154,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,9,agent_0,0.345154,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,9,agent_2,0.00567196,0.000878350343555212,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,9,agent_2,0.00567196,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,10,agent_2,0.00567196,0.0036909745540469885,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,10,agent_2,0.00567196,,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,11,agent_2,0.00567196,0.005500757601112127,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,11,agent_2,0.00567196,0.0007823057239875197,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,12,agent_2,0.00567196,0.003987782169133425,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
1,12,agent_2,0.00567196,0.0014966422459110618,0,Toxic Model 1,Network1,0.1,24.0,0.05,true,true,true,true,1,1,0.2,6
